Site,PullDate,ValidDate,ValidHoure,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,average
Cranwell,2022-07-28,2022-08-08,00:00:00,690125.45454545,181909.09090909,986909.09090909,945090.90909091,351272.72727273,414000,752727.27272727,564545.45454545,930454.54545455,669090.90909091,593818.18181818,945090.90909091,888636.36363636,491363.63636364,798727.27272727,483000,685818.18181818,809181.81818182,771545.45454545,652363.63636364,522727.27272727,635636.36363636,625181.81818182,414000,936727.27272727,769454.54545455,796636.36363636,595909.09090909,535272.72727273,949272.72727273,955545.45454545,794545.45454545,763181.81818182,462090.90909091,713000,986909.09090909,575000,905363.63636364,966000,861454.54545455,181909.09090909,796636.36363636,648181.81818182,880272.72727273,974363.63636364,733909.09090909,485090.90909091,719272.72727273,253000,648181.81818182,215363.63636364,966000,493454.54545455,690125.5
Cranwell,2022-07-28,2022-08-08,06:00:00,506250.90909091,121272.72727273,662818.18181818,604272.72727273,330363.63636364,495545.45454545,623090.90909091,244636.36363636,616818.18181818,545727.27272727,227909.09090909,393090.90909091,608454.54545455,516454.54545455,610545.45454545,219545.45454545,328272.72727273,121272.72727273,608454.54545455,514363.63636364,380545.45454545,495545.45454545,618909.09090909,614727.27272727,604272.72727273,639818.18181818,618909.09090909,545727.27272727,365909.09090909,646090.90909091,602181.81818182,512272.72727273,641909.09090909,662818.18181818,637727.27272727,612636.36363636,345000,616818.18181818,370090.90909091,606363.63636364,215363.63636364,641909.09090909,616818.18181818,545727.27272727,637727.27272727,432818.18181818,428636.36363636,403545.45454545,464181.81818182,495545.45454545,587545.45454545,633545.45454545,462090.90909091,506250.9
Cranwell,2022-07-28,2022-08-08,12:00:00,18932721.818182,9731090.9090909,24771000,24666454.545455,10065636.363636,18895545.454545,22826454.545455,15088000,24078909.090909,21630454.545455,18711545.454545,17996454.545455,20014181.818182,14889363.636364,21693181.818182,18780545.454545,17283454.545455,10707545.454545,16938454.545455,18910181.818182,16511909.090909,16474272.727273,18107272.727273,16560000,22958181.818182,21413000,17266727.272727,17070181.818182,17178909.090909,24589090.909091,23554090.909091,19301181.818182,18678090.909091,19794636.363636,23664909.090909,24417636.363636,10810000,24254545.454545,10724272.727273,24150000,11086000,24771000,9731090.9090909,22897545.454545,23357545.454545,14446090.909091,14686545.454545,18611181.818182,23014636.363636,21839545.454545,22659181.818182,24610000,14270454.545455,18932721.8
Cranwell,2022-07-28,2022-08-08,18:00:00,17224783.636364,4712909.0909091,25908454.545455,25086727.272727,8641727.2727273,12679272.727273,19259363.636364,4712909.0909091,18805636.363636,25745363.636364,11924454.545455,25908454.545455,12668818.181818,14699090.909091,10764000,23765272.727273,15786363.636364,10820454.545455,13279363.636364,22544181.818182,16317454.545455,14316454.545455,12012272.727273,11993454.545455,17398454.545455,20490909.090909,14358272.727273,16242181.818182,12923909.090909,25898000,25067909.090909,19811363.636364,15016909.090909,17889818.181818,22324636.363636,25463090.909091,13277272.727273,25377363.636364,18151181.818182,22008909.090909,16549545.454545,25624090.909091,5448909.0909091,11589909.090909,12919727.272727,12821454.545455,24160454.545455,14918636.363636,19485181.818182,16100000,20467909.090909,25624090.909091,12098000,17224783.6
Cranwell,2022-07-28,2022-08-09,00:00:00,648641.81818182,156818.18181818,947181.81818182,857272.72727273,259272.72727273,447454.54545455,468363.63636364,236272.72727273,746454.54545455,940909.09090909,746454.54545455,947181.81818182,378454.54545455,656545.45454545,156818.18181818,938818.18181818,545727.27272727,468363.63636364,487181.81818182,861454.54545455,842636.36363636,399363.63636364,543636.36363636,422363.63636364,493454.54545455,825909.09090909,765272.72727273,767363.63636364,432818.18181818,846818.18181818,915818.18181818,639818.18181818,752727.27272727,539454.54545455,614727.27272727,890727.27272727,698363.63636364,899090.90909091,629363.63636364,715090.90909091,679545.45454545,897000,738090.90909091,489272.72727273,276000,403545.45454545,924181.81818182,623090.90909091,598000,796636.36363636,894909.09090909,915818.18181818,418181.81818182,648641.8
Cranwell,2022-07-28,2022-08-09,06:00:00,468238.18181818,138000,639818.18181818,524818.18181818,280181.81818182,138000,150545.45454545,472545.45454545,595909.09090909,560363.63636364,625181.81818182,591727.27272727,171454.54545455,526909.09090909,531090.90909091,610545.45454545,583363.63636364,244636.36363636,514363.63636364,593818.18181818,600090.90909091,259272.72727273,391000,202818.18181818,359636.36363636,184000,610545.45454545,577090.90909091,248818.18181818,618909.09090909,623090.90909091,382636.36363636,217454.54545455,616818.18181818,267636.36363636,583363.63636364,510181.81818182,587545.45454545,526909.09090909,583363.63636364,319909.09090909,600090.90909091,568727.27272727,380545.45454545,426545.45454545,497636.36363636,612636.36363636,520636.36363636,508090.90909091,575000,598000,639818.18181818,497636.36363636,468238.2
Cranwell,2022-07-28,2022-08-09,12:00:00,19392930.909091,6366818.1818182,24940363.636364,22111363.636364,13965181.818182,6448363.6363636,11416363.636364,18366545.454545,23989000,24656000,24925727.272727,24415545.454545,6366818.1818182,16177363.636364,14876818.181818,24695727.272727,24026636.363636,21691090.909091,22000545.454545,23788272.727273,23830090.909091,10565363.636364,9488545.4545455,14492090.909091,16670818.181818,10623909.090909,23587545.454545,22251454.545455,12777545.454545,24894363.636364,24645545.454545,18586090.909091,7949636.3636364,24334000,14485818.181818,24028727.272727,20980181.818182,23953454.545455,23928363.636364,23788272.727273,18312181.818182,22542090.909091,18962454.545455,22788818.181818,18508727.272727,15343090.909091,23796636.363636,11648454.545455,22460545.454545,23995272.727273,23970181.818182,24940363.636364,22598545.454545,19392930.9
Cranwell,2022-07-28,2022-08-09,18:00:00,19560872.727273,6412818.1818182,25902181.818182,24423909.090909,14280909.090909,15405818.181818,14410545.454545,17770636.363636,22627818.181818,25634545.454545,25325090.909091,25647090.909091,10011272.727273,14962545.454545,12583090.909091,25515363.636364,24045454.545455,20432363.636364,25197545.454545,23572909.090909,24256636.363636,16440818.181818,6412818.1818182,12263181.818182,22525363.636364,12562181.818182,22922636.363636,18285000,13716363.636364,25902181.818182,22726090.909091,10646909.090909,13333727.272727,24710363.636364,21546818.181818,17507181.818182,18147000,24403000,15071272.727273,24741727.272727,15464363.636364,23664909.090909,19221727.272727,24181363.636364,19443363.636364,16277727.272727,25843636.363636,14172181.818182,23842636.363636,19677545.454545,24957090.909091,25837363.636364,15491545.454545,19560872.7
Cranwell,2022-07-28,2022-08-10,00:00:00,688870.90909091,263454.54545455,901181.81818182,842636.36363636,585454.54545455,723454.54545455,566636.36363636,756909.09090909,566636.36363636,884454.54545455,786181.81818182,880272.72727273,581272.72727273,501818.18181818,422363.63636364,823818.18181818,836363.63636364,742272.72727273,894909.09090909,828000,840545.45454545,639818.18181818,263454.54545455,363818.18181818,819636.36363636,552000,811272.72727273,740181.81818182,836363.63636364,901181.81818182,587545.45454545,317818.18181818,328272.72727273,830090.90909091,411909.09090909,648181.81818182,740181.81818182,767363.63636364,499727.27272727,821727.27272727,679545.45454545,756909.09090909,635636.36363636,832181.81818182,690000,501818.18181818,892818.18181818,736000,846818.18181818,807090.90909091,855181.81818182,897000,368000,688870.9
Cranwell,2022-07-28,2022-08-10,06:00:00,459080,112909.09090909,587545.45454545,549909.09090909,345000,568727.27272727,288545.45454545,368000,334545.45454545,560363.63636364,529000,564545.45454545,499727.27272727,514363.63636364,478818.18181818,539454.54545455,491363.63636364,560363.63636364,566636.36363636,554090.90909091,587545.45454545,234181.81818182,288545.45454545,483000,524818.18181818,587545.45454545,552000,374272.72727273,556181.81818182,579181.81818182,552000,401454.54545455,112909.09090909,529000,386818.18181818,200727.27272727,476727.27272727,499727.27272727,301090.90909091,579181.81818182,512272.72727273,549909.09090909,451636.36363636,399363.63636364,401454.54545455,248818.18181818,451636.36363636,439090.90909091,575000,497636.36363636,554090.90909091,516454.54545455,236272.72727273,459080.0
