Site,PullDate,ValidDate,ValidHoure,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,average
BroomsBarn,2022-05-16,2022-05-20,00:00:00,847161.09090909,359009.09090908,1044409.0909091,625390.90909092,979800.00000001,1001545.4545455,761927.27272726,876927.27272729,1014927.2727273,752518.18181817,842009.09090908,830718.18181819,736627.27272725,453100.00000002,995272.72727273,830299.99999998,1004681.8181818,359009.09090908,966836.36363635,981472.72727275,603436.36363635,917281.81818181,799354.54545455,1044409.0909091,696063.63636365,868354.54545455,864590.90909091,974781.81818181,645881.81818184,804581.81818179,850790.9090909,838245.45454544,958681.81818182,797890.90909092,908081.81818182,1018481.8181818,962027.27272725,946763.63636364,914145.45454545,923345.45454547,911845.45454544,1018063.6363637,947809.0909091,655500,949272.72727273,743109.09090908,977081.81818182,813781.81818181,721363.63636364,967672.72727273,693763.63636364,567890.90909092,1040645.4545455,847161.1
BroomsBarn,2022-05-16,2022-05-20,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-05-16,2022-05-20,06:00:00,868362.90909091,237736.36363636,1340272.7272727,395181.81818182,853509.09090908,1030818.1818182,932336.36363638,1101490.9090909,786181.81818182,459581.81818182,1258936.3636364,1013463.6363636,1334836.3636364,1115500,1116754.5454545,595700.00000002,620581.81818182,964118.18181816,1047545.4545455,1117800,288963.63636366,816081.81818182,973109.09090908,425290.9090909,789736.36363636,1071800,659472.72727272,1105881.8181818,931918.18181818,305272.72727273,1143936.3636364,1142263.6363636,700036.36363637,810018.18181817,1065109.0909091,723454.54545455,719690.90909093,843890.90909092,262199.99999999,1175090.9090909,1171745.4545455,978545.45454545,917281.81818181,833018.18181817,1083300,1340272.7272727,943836.36363638,1207500,237736.36363636,1025381.8181818,382427.27272726,928363.63636364,671181.81818182,868362.9
BroomsBarn,2022-05-16,2022-05-20,09:00:00,7043925.6363636,2570354.5454546,10866663.636364,3833263.6363636,6296772.7272727,9207318.1818182,9327336.3636364,7169727.2727273,8568545.4545455,3187590.9090909,10309227.272727,9346781.8181818,10526472.727273,7951936.3636363,10026327.272727,4756818.1818182,3605563.6363636,8339172.7272727,8949509.0909091,9386509.0909091,3908536.3636364,9817445.4545455,7189172.7272727,4280300,7006427.2727273,7840281.8181818,7367945.4545455,7742427.2727273,6924881.8181818,3345036.3636364,6369327.2727273,9668363.6363636,5434272.7272727,4558600,7428581.8181818,6649509.0909091,6151872.7272728,7450745.4545455,2570354.5454546,8701736.3636364,8521500,10866663.636364,7404745.4545454,6672090.9090909,6212509.0909091,10557418.181818,5507036.3636364,6767436.3636364,5423400,7946918.1818182,4981381.8181818,5778854.5454545,4361636.3636364,7043925.6
BroomsBarn,2022-05-16,2022-05-20,12:00:00,16621255.272727,6907318.1818182,27744690.909091,8970836.3636364,18241718.181818,13680190.909091,22099236.363636,14923654.545455,18705063.636364,11853363.636364,22256472.727273,22156736.363636,23735372.727273,17647272.727273,16302818.181818,11538054.545455,6907318.1818182,21239663.636364,20780709.090909,21840800,10777381.818182,25498845.454545,16763027.272727,7392200,16366590.909091,16424718.181818,16699881.818182,22411200,17678845.454545,11125936.363636,14284672.727273,21917745.454545,19708700,8246127.2727273,21395227.272727,17128936.363636,21476563.636364,13585054.545455,11898109.090909,13600318.181818,15598600,27744690.909091,16060272.727273,11647618.181818,10321563.636364,20496972.727273,14066381.818182,18337900,17583918.181818,19053200,15111000,14283627.272727,13497654.545455,16621255.3
BroomsBarn,2022-05-16,2022-05-20,15:00:00,20822217.818182,9170936.3636364,34895390.909091,9170936.3636364,25701872.727273,12035481.818182,24683600,20994190.909091,17872672.727273,18264718.181818,25440090.909091,26299872.727273,22309372.727273,27550445.454545,15421081.818182,11514845.454545,13325990.909091,25436745.454545,27414745.454545,24137454.545455,22114081.818182,32389645.454545,23395600,15214709.090909,22316900,16660781.818182,16375372.727273,24932836.363636,22124536.363636,13881754.545455,13044763.636364,24700118.181818,30661090.909091,16967727.272727,27809300,26979836.363636,29735654.545455,10987100,23566009.090909,12655854.545455,18097027.272727,34895390.909091,13981909.090909,19105472.727273,15219727.272727,19342163.636364,21079500,18178363.636364,22840254.545455,18864390.909091,25253581.818182,14791300,25374018.181818,20822217.8
BroomsBarn,2022-05-16,2022-05-20,18:00:00,16729568.545455,5362972.7272727,26435363.636364,5942363.6363636,15523327.272727,11669572.727273,15426727.272727,21474681.818182,11023690.909091,17950454.545455,17714181.818182,21423454.545455,14820363.636364,25789063.636364,12434218.181818,7721727.2727273,16515463.636364,17096318.181818,22224272.727273,16482636.363636,23857272.727273,24636345.454545,18213909.090909,19632172.727273,20628909.090909,11437272.727273,14185145.454545,12313363.636364,16272290.909091,12953181.818182,6168181.8181818,17004109.090909,22860536.363636,20664454.545455,19991181.818182,24684227.272727,22230545.454545,5362972.7272727,22580145.454545,11945363.636364,16925909.090909,26435363.636364,7535218.1818182,22294527.272727,17098827.272727,10782609.090909,19448590.909091,13709672.727273,16049818.181818,10605090.909091,23916445.454545,9190800,23631454.545455,16729568.5
BroomsBarn,2022-05-16,2022-05-20,21:00:00,7136373.0909091,1493536.3636364,10421090.909091,2519545.4545455,2843636.3636364,5685600,4901090.9090909,10262181.818182,4652900,9735272.7272727,5875454.5454545,9944363.6363636,8085545.4545455,10015454.545455,5364018.1818182,4382545.4545455,8146809.0909091,6003000,8355272.7272727,6663727.2727273,9908818.1818182,9754090.9090909,6197454.5454545,8697763.6363636,9515727.2727273,5405000,8792272.7272727,3763636.3636364,6258090.9090909,8113145.4545454,2948600,6711818.1818182,8077181.8181818,9187454.5454545,7774000,9931818.1818182,9568000,1493536.3636364,9356818.1818182,6364727.2727273,8029090.9090909,10421090.909091,3706345.4545455,10032390.909091,8033272.7272727,2990000,8585272.7272727,9302454.5454545,6550818.1818182,4340727.2727273,10197363.636364,4273818.1818182,9099636.3636364,7136373.1
BroomsBarn,2022-05-16,2022-05-21,00:00:00,783329.81818182,139463.63636366,1053818.1818182,215363.63636364,223727.27272727,547818.18181818,453727.27272727,926272.72727273,579181.81818182,924181.81818182,395181.81818182,997363.63636364,1030818.1818182,966000,957636.36363636,798727.27272727,1035000,478818.18181818,667000,746454.54545455,1007818.1818182,1009909.0909091,832181.81818182,743109.09090911,1053818.1818182,972272.72727273,991090.90909091,608454.54545455,424454.54545455,955545.45454545,765900.00000001,1016181.8181818,903272.72727273,993181.81818182,560363.63636364,1024545.4545455,1028727.2727273,139463.63636366,752727.27272727,1001545.4545455,951363.63636364,1024545.4545455,580227.27272727,1034790.9090909,961818.18181818,269727.27272727,713000,993181.81818182,943000,468363.63636364,1022454.5454545,441181.81818182,1035000,783329.8
BroomsBarn,2022-05-16,2022-05-21,03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BroomsBarn,2022-05-16,2022-05-21,06:00:00,1077892.9090909,317818.18181818,1357000,1269181.8181818,1045454.5454545,718227.27272727,1248272.7272727,1108181.8181818,1329818.1818182,1319363.6363636,1346545.4545455,1200181.8181818,1357000,1327727.2727273,644000,1239909.0909091,403545.45454545,1168818.1818182,1064272.7272727,1288000,1325636.3636364,926272.72727273,317818.18181818,1051936.3636363,1346545.4545455,1235727.2727273,838454.54545455,830090.90909091,1323545.4545455,1323545.4545455,791409.09090909,1135363.6363636,913727.27272727,1018272.7272727,679545.45454545,1304727.2727273,1212727.2727273,1290927.2727273,1323545.4545455,1262909.0909091,1338181.8181818,1258727.2727273,1057163.6363636,795800.00000001,1336090.9090909,602181.81818182,1273363.6363636,851000,811272.72727273,1221090.9090909,1078909.0909091,604272.72727273,1135363.6363636,1077892.9
BroomsBarn,2022-05-16,2022-05-21,09:00:00,9409768.3636364,5614090.9090909,11681909.090909,6375181.8181818,8777636.3636364,9559845.4545455,9254363.6363636,9998727.2727273,11575272.727273,8073000,8411727.2727273,9312909.0909091,8158727.2727273,11516727.272727,9277363.6363636,11397545.454545,5781363.6363636,9342181.8181818,10222454.545455,9695545.4545455,10387636.363636,9762454.5454545,5614090.9090909,9249554.5454545,11048363.636364,10030090.909091,10268454.545455,7422727.2727273,11681909.090909,10519363.636364,7246672.7272727,10071909.090909,8390818.1818182,9501090.9090909,9315000,10410636.363636,10132545.454545,9817654.5454545,9559636.3636364,11031636.363636,10444090.909091,9967363.6363636,10038872.727273,5701909.0909091,9327545.4545455,10584181.818182,10293545.454545,9570090.9090909,10661545.454545,11134090.909091,9204181.8181818,7470818.1818182,7897363.6363636,9409768.4
BroomsBarn,2022-05-16,2022-05-21,12:00:00,21886193.636364,12804727.272727,27520545.454545,12804727.272727,17917000,23910800,17454909.090909,26146818.181818,26738545.454545,16572545.454545,17082727.272727,19736090.909091,22272363.636364,23641909.090909,25387818.181818,25881272.727273,16735636.363636,20932090.909091,24137454.545455,18232727.272727,23566636.363636,21042909.090909,21130727.272727,19789618.181818,25431727.272727,20967636.363636,23577090.909091,20091545.454545,27520545.454545,24285909.090909,20794718.181818,23654454.545455,18671818.181818,21143272.727273,21118181.818182,23792454.545455,22163636.363636,24329818.181818,19560454.545455,23792454.545455,23357545.454545,22928909.090909,20207800,19565472.727273,23782000,23970181.818182,22751181.818182,24202272.727273,23062727.272727,25820636.363636,19541636.363636,23058545.454545,20049727.272727,21886193.6
