Site,PullDate,ValidTime,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50
Cranwell,2022-05-26,2022-06-12T18:00:00Z,14244401.818182,0,28338090.909091,0,0,0,0,0,0,0,0,0,24359090.909091,12401181.818182,15531272.727273,14605000,16528636.363636,12990818.181818,21438090.909091,28034909.090909,16612272.727273,11362000,18531727.272727,12313363.636364,27441090.909091,21047090.909091,19800909.090909,19044000,19614818.181818,16129272.727273,22414545.454545,15621181.818182,18379090.909091,23384727.272727,10669909.090909,12135636.363636,22928909.090909,11529272.727273,8267454.5454545,13302363.636364,15665090.909091,11100636.363636,17854272.727273,20762727.272727,23282272.727273,13381818.181818,18293363.636364,7019181.8181818,22077909.090909,23135909.090909,28338090.909091,7907818.1818182,16982363.636364
Cranwell,2022-05-26,2022-06-13T00:00:00Z,940741.81818182,0,1913181.8181818,0,0,0,0,0,0,0,0,0,1482454.5454545,1173000,1306818.1818182,1053818.1818182,520636.36363636,1118636.3636364,1099818.1818182,1750090.9090909,411909.09090909,591727.27272727,1400909.0909091,1164636.3636364,1913181.8181818,1474090.9090909,1455272.7272727,1605818.1818182,1574454.5454545,1099818.1818182,1319363.6363636,633545.45454545,1229454.5454545,1354909.0909091,1350727.2727273,805000,1626727.2727273,1131181.8181818,825909.09090909,1139545.4545455,616818.18181818,1124909.0909091,773636.36363636,1564000,930454.54545455,522727.27272727,1624636.3636364,878181.81818182,1150000,1152090.9090909,1568181.8181818,353363.63636364,1164636.3636364
Cranwell,2022-05-26,2022-06-13T06:00:00Z,1017812.7272727,0,1852545.4545455,0,0,0,0,0,0,0,0,0,1821181.8181818,876090.90909091,1175090.9090909,1647636.3636364,382636.36363636,1428090.9090909,472545.45454545,1260818.1818182,761090.90909091,756909.09090909,1168818.1818182,859363.63636364,1758454.5454545,1208545.4545455,1852545.4545455,1545181.8181818,1160454.5454545,1254545.4545455,1302636.3636364,813363.63636364,1712454.5454545,857272.72727273,1507545.4545455,1413454.5454545,1633000,1137454.5454545,1150000,1781454.5454545,1030818.1818182,428636.36363636,1641363.6363636,1737545.4545455,1668545.4545455,1440636.3636364,1754272.7272727,1308909.0909091,1377909.0909091,855181.81818182,1139545.4545455,744363.63636364,1064272.7272727
Cranwell,2022-05-26,2022-06-13T12:00:00Z,16093225.454545,0,28800181.818182,0,0,0,0,0,0,0,0,0,27390909.090909,11997636.363636,16990727.272727,13774909.090909,16250545.454545,24927818.181818,15416272.727273,26657000,8200545.4545455,15177909.090909,22778363.636364,18412545.454545,27443181.818182,25402454.545455,20012090.909091,27321909.090909,20524363.636364,16296545.454545,16028909.090909,14347818.181818,23085727.272727,11690272.727273,19355545.454545,19000090.909091,17145454.545455,20047636.363636,17026272.727273,24122818.181818,22406181.818182,22514909.090909,24622545.454545,19079545.454545,26937181.818182,16217090.909091,28800181.818182,14596636.363636,20967636.363636,12453454.545455,26705090.909091,13114181.818182,19420363.636364
Cranwell,2022-05-26,2022-06-13T18:00:00Z,16083356.363636,0,29239272.727273,0,0,0,0,0,0,0,0,0,25003090.909091,16756545.454545,13929636.363636,10858090.909091,29239272.727273,27733818.181818,14922818.181818,26102909.090909,12541272.727273,16631090.909091,17482090.909091,15023181.818182,20591272.727273,28444727.272727,14684454.545455,23073181.818182,24693636.363636,24971727.272727,16409454.545455,19426636.363636,18719909.090909,14770181.818182,18782636.363636,19184090.909091,23041818.181818,19305363.636364,12252727.272727,20371727.272727,18738727.272727,17473727.272727,21561454.545455,15677636.363636,23936727.272727,19284454.545455,29061545.454545,15215545.454545,22420818.181818,11500000,23752727.272727,16846454.545455,23750636.363636
Cranwell,2022-05-26,2022-06-14T00:00:00Z,1104083.6363636,0,1965454.5454545,0,0,0,0,0,0,0,0,0,1465727.2727273,1551454.5454545,838454.54545455,913727.27272727,1965454.5454545,1942454.5454545,859363.63636364,1574454.5454545,1181363.6363636,738090.90909091,1668545.4545455,1446909.0909091,1499181.8181818,1823272.7272727,1154181.8181818,1434363.6363636,1154181.8181818,1750090.9090909,1622545.4545455,1281727.2727273,940909.09090909,1173000,980636.36363636,1382090.9090909,1704090.9090909,1108181.8181818,819636.36363636,1555636.3636364,1219000,1083090.9090909,1543090.9090909,1436454.5454545,1549363.6363636,1476181.8181818,1800272.7272727,1515909.0909091,1394636.3636364,842636.36363636,1568181.8181818,1058000,1187636.3636364
Cranwell,2022-05-26,2022-06-14T06:00:00Z,1140465.4545455,0,1823272.7272727,0,0,0,0,0,0,0,0,0,1513818.1818182,1279636.3636364,1189727.2727273,1578636.3636364,1716636.3636364,1722909.0909091,897000,1168818.1818182,1436454.5454545,1250363.6363636,1714545.4545455,1595363.6363636,1547272.7272727,1593272.7272727,989000,1806545.4545455,932545.45454545,1676909.0909091,1591181.8181818,1367454.5454545,721363.63636364,1656000,1495000,957636.36363636,1737545.4545455,984818.18181818,708818.18181818,1603727.2727273,1373727.2727273,518545.45454545,748545.45454545,1777272.7272727,1823272.7272727,1722909.0909091,1530545.4545455,1800272.7272727,1484545.4545455,1453181.8181818,1561909.0909091,1610000,1185545.4545455
Cranwell,2022-05-26,2022-06-14T12:00:00Z,17554561.818182,0,28980000,0,0,0,0,0,0,0,0,0,26935090.909091,14460727.272727,16810909.090909,27043818.181818,22305818.181818,25465181.818182,19698454.545455,20409363.636364,18682272.727273,15073363.636364,24877636.363636,17099454.545455,15621181.818182,25668000,12593545.454545,28980000,25170363.636364,26960181.818182,23294818.181818,24229454.545455,11341090.909091,21935727.272727,25885454.545455,22226363.636364,23510181.818182,18088454.545455,13285636.363636,22661272.727273,25814363.636364,8735818.1818182,14416818.181818,26251363.636364,27827909.090909,20524363.636364,28043272.727273,22797181.818182,25580181.818182,22211727.272727,26675818.181818,20026727.272727,18508727.272727
Cranwell,2022-05-26,2022-06-14T18:00:00Z,15395865.454545,0,29057363.636364,0,0,0,0,0,0,0,0,0,23863545.454545,10931272.727273,10559090.909091,13281454.545455,22236818.181818,27811181.818182,22443818.181818,19451727.272727,12752454.545455,14809909.090909,17730909.090909,16275636.363636,10732636.363636,26539909.090909,8846636.3636364,29057363.636364,24258727.272727,23154727.272727,13797909.090909,27528909.090909,19330454.545455,23928363.636364,22659181.818182,14391727.272727,18234818.181818,14136636.363636,11809454.545455,19313727.272727,21611636.363636,11543909.090909,13116272.727273,16815090.909091,26792909.090909,11937000,23876090.909091,13296090.909091,25341818.181818,24453181.818182,27474545.454545,15625363.636364,18040363.636364
Cranwell,2022-05-26,2022-06-15T00:00:00Z,986072.72727273,0,1950818.1818182,0,0,0,0,0,0,0,0,0,1610000,687909.09090909,476727.27272727,708818.18181818,894909.09090909,1599545.4545455,1505454.5454545,524818.18181818,1214818.1818182,1003636.3636364,1250363.6363636,1411363.6363636,391000,1691545.4545455,437000,1950818.1818182,1436454.5454545,1325636.3636364,813363.63636364,1846272.7272727,1407181.8181818,1729181.8181818,1674818.1818182,1116545.4545455,1662272.7272727,388909.09090909,349181.81818182,1064272.7272727,1415545.4545455,1212727.2727273,1168818.1818182,1407181.8181818,1580727.2727273,901181.81818182,1300545.4545455,884454.54545455,1089363.6363636,1877636.3636364,1819090.9090909,1536818.1818182,936727.27272727
