Site,PullDate,ValidTime,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50
BroomsBarn,2022-05-02,2022-05-08T12:00:00Z,17474672.363636,0,27409727.272727,0,0,0,0,0,0,0,0,0,15113090.909091,24070545.454545,24863000,26466727.272727,23250909.090909,20754363.636364,27409727.272727,11929472.727273,20616363.636364,17522654.545455,16497272.727273,19667090.909091,24503363.636364,15794936.363636,20382181.818182,26863790.909091,22730063.636364,10038454.545455,18691890.909091,26040181.818182,22832727.272727,26990081.818182,25624927.272727,16741909.090909,25057454.545455,5016927.2727273,24216909.090909,19303272.727273,26903727.272727,26071545.454545,24248272.727273,22459918.181818,26456481.818182,17182045.454545,23225818.181818,26441636.363636,18142609.090909,18320127.272727,27301000,18805636.363636,19184509.090909
BroomsBarn,2022-05-02,2022-05-08T18:00:00Z,16357855.090909,0,26483454.545455,0,0,0,0,0,0,0,0,0,21553090.909091,15646272.727273,17772727.272727,25854090.909091,18213909.090909,20014181.818182,26483454.545455,12057018.181818,15274090.909091,15946945.454545,14824545.454545,17308545.454545,23418181.818182,16522363.636364,16524454.545455,26027636.363636,20371727.272727,21511272.727273,19081636.363636,24973818.181818,16940545.454545,26105418.181818,24432272.727273,19736090.909091,25956545.454545,7345363.6363636,21891818.181818,12562181.818182,21973363.636364,22521181.818182,17990181.818182,23905363.636364,25262363.636364,14822454.545455,25847818.181818,26406090.909091,12777545.454545,16932181.818182,25527909.090909,22577636.363636,16998463.636364
BroomsBarn,2022-05-02,2022-05-09T00:00:00Z,477354.54545455,0,752727.27272727,0,0,0,0,0,0,0,0,0,470454.54545455,537363.63636364,368000,710909.09090909,497636.36363636,608454.54545455,736000,395181.81818182,637727.27272727,378454.54545455,472545.45454545,384727.27272727,652363.63636364,633545.45454545,514363.63636364,696272.72727273,539454.54545455,702545.45454545,719272.72727273,752727.27272727,368000,725545.45454545,725545.45454545,675363.63636364,710909.09090909,437000,662818.18181818,273909.09090909,401454.54545455,677454.54545455,541545.45454545,715090.90909091,719272.72727273,378454.54545455,738090.90909091,729727.27272727,533181.81818182,476727.27272727,727636.36363636,710909.09090909,531090.90909091
BroomsBarn,2022-05-02,2022-05-09T06:00:00Z,689832.72727273,0,997363.63636364,0,0,0,0,0,0,0,0,0,986909.09090909,378454.54545455,767363.63636364,974363.63636364,723454.54545455,955545.45454545,997363.63636364,884454.54545455,746454.54545455,662818.18181818,909545.45454545,547818.18181818,844727.27272727,932545.45454545,934636.36363636,805000,989000,725545.45454545,790363.63636364,943000,771545.45454545,976454.54545455,984818.18181818,943000,888636.36363636,606363.63636364,945090.90909091,922090.90909091,489272.72727273,844727.27272727,928363.63636364,915818.18181818,940909.09090909,951363.63636364,972272.72727273,961818.18181818,863545.45454545,882363.63636364,874000,966000,363818.18181818
BroomsBarn,2022-05-02,2022-05-09T12:00:00Z,18756374.545455,0,27627181.818182,0,0,0,0,0,0,0,0,0,27543545.454545,18897636.363636,19865727.272727,27627181.818182,25753727.272727,26096636.363636,27487090.909091,20327818.181818,13846000,18487818.181818,23330363.636364,20990636.363636,22828545.454545,19817636.363636,24367454.545455,24175090.909091,27336545.454545,20754363.636364,10195272.727273,27096090.909091,15899272.727273,23917909.090909,25839454.545455,21916909.090909,26445818.181818,24670636.363636,26828454.545455,26588000,16710545.454545,24706181.818182,25699363.636364,25676363.636364,21969181.818182,21935727.272727,25076272.727273,26339181.818182,26094545.454545,19744454.545455,26132181.818182,26493909.090909,12309181.818182
BroomsBarn,2022-05-02,2022-05-09T18:00:00Z,16685496.363636,0,27008272.727273,0,0,0,0,0,0,0,0,0,26903727.272727,15669272.727273,13434090.909091,27008272.727273,18460636.363636,24127000,26151000,14918636.363636,8382454.5454545,14515090.909091,16992818.181818,24298454.545455,22034000,13082818.181818,20733454.545455,23966000,24722909.090909,25036545.454545,7159272.7272727,25544636.363636,7767727.2727273,14439818.181818,26230454.545455,20687454.545455,25341818.181818,26263909.090909,24948727.272727,25797636.363636,13833454.545455,23169363.636364,21960818.181818,24308909.090909,10414818.181818,16951000,20183545.454545,25285363.636364,25987909.090909,13662000,25107636.363636,26648636.363636,22142727.272727
BroomsBarn,2022-05-02,2022-05-10T00:00:00Z,470287.27272727,0,805000,0,0,0,0,0,0,0,0,0,788272.72727273,244636.36363636,125454.54545455,805000,572909.09090909,752727.27272727,740181.81818182,359636.36363636,271818.18181818,696272.72727273,591727.27272727,746454.54545455,719272.72727273,395181.81818182,240454.54545455,483000,644000,744363.63636364,531090.90909091,746454.54545455,138000,355454.54545455,744363.63636364,618909.09090909,746454.54545455,736000,629363.63636364,731818.18181818,365909.09090909,633545.45454545,466272.72727273,717181.81818182,257181.81818182,660727.27272727,725545.45454545,736000,639818.18181818,261363.63636364,644000,771545.45454545,736000
BroomsBarn,2022-05-02,2022-05-10T06:00:00Z,700412.72727273,0,1091454.5454545,0,0,0,0,0,0,0,0,0,1018272.7272727,890727.27272727,876090.90909091,1091454.5454545,884454.54545455,957636.36363636,949272.72727273,662818.18181818,961818.18181818,888636.36363636,591727.27272727,1003636.3636364,953454.54545455,993181.81818182,844727.27272727,474636.36363636,909545.45454545,986909.09090909,968090.90909091,1024545.4545455,930454.54545455,593818.18181818,997363.63636364,614727.27272727,1024545.4545455,932545.45454545,995272.72727273,1012000,930454.54545455,982727.27272727,621000,972272.72727273,1035000,522727.27272727,834272.72727273,913727.27272727,518545.45454545,92000,943000,1032909.0909091,589636.36363636
BroomsBarn,2022-05-02,2022-05-10T12:00:00Z,18176607.272727,0,28131090.909091,0,0,0,0,0,0,0,0,0,27512181.818182,22966545.454545,8012363.6363636,28131090.909091,11042090.909091,27240363.636364,20417727.272727,16355090.909091,26765727.272727,22420818.181818,23817545.454545,27301000,22034000,19980727.272727,22548363.636364,16472181.818182,24223181.818182,27029181.818182,18362363.636364,27554000,22358090.909091,15368181.818182,26813818.181818,10109545.454545,27407636.363636,26033909.090909,26487636.363636,27303090.909091,25247727.272727,24624636.363636,23096181.818182,26872363.636364,24463636.363636,15008545.454545,23880272.727273,20442818.181818,22531636.363636,8177545.4545455,26378909.090909,24965454.545455,21072181.818182
BroomsBarn,2022-05-02,2022-05-10T18:00:00Z,16566774.545455,0,26933000,0,0,0,0,0,0,0,0,0,26933000,18690636.363636,8125272.7272727,26286909.090909,17325272.727273,26389363.636364,14473272.727273,11709090.909091,22259818.181818,14954181.818182,22163636.363636,26537818.181818,16779545.454545,13823000,18109363.636364,11420545.454545,25601090.909091,25973272.727273,16624818.181818,26759454.545455,15834454.545455,11301363.636364,25983727.272727,12725272.727273,25770454.545455,23679545.454545,22048636.363636,25208000,21532181.818182,20543181.818182,17162181.818182,25906363.636364,20679090.909091,22558818.181818,25967000,23066909.090909,14519272.727273,13084909.090909,26544090.909091,21699454.545455,21584454.545455
